target,source
"Baik, Roma dan saya akan membuat satu dicalonkan untuk Verone.","Well, Rome and I will be making a run for Verone."
"Kau gadis yang baik, Peg.","You're a good girl, Peg."
Apa?,What?
Anda harus berada di tempat tidur.,You should be in bed.
"Hanya satu permainan hanya satu permainan, Menang atau mati.","It is only one hand. Just a game, win or die."
"Ya, esai juga.","Yep, essays too."
Komisaris Bruges?,Commissioner Bruges?
"Ya, ada sesuatu keanehan yang lain.","Yeah, there was something else that was weird, though."
Saya Claire.,I'm Claire.
"Ya bisa saja. / Jadi kau bilang kita sedang menunggu lingkungan yang lebih baik dengan lebih banyak orang, bukan di restoran.","They could. So you said we were waiting for a better neighborhood with more people, not a fucking restaurant."
"Mereka bilang, dia sedang di investigasi karena pengkhianatan.",They said he's being investigated for treason.
tentu.,"Okay, sure."
Dia buat apa?,He did what?
semua aset April' termasuk pulau pribadinya sudah dibekukan apakah itu benar?,"All of April's assets, including her private island, have been frozen. April, is this true?"
Aku lepaskan tanganku.,I'm taking my hand off.
Bisa kau bawa kita ke Caughlan ?,Can you get us to Coughlan?
"Jika kamu tidak ingin bekerja, orang lain mau, Daji","If you don't want to work, someone else will, Daji."
Kau bisa lihat bagaimana bisa terjadi kesalahan.,You can see how it would be an easy miss.
Yalla!,Yalla!
"Dari yang kubaca, semuanya ini benar-benar acak.","From what I've been reading, these things are totally random."
Kembalilah kamu ke rumah bordil.,Back to the whorehouse with you.
Kami memiliki tahun yang besar di toko.,We have a banner year coming up.
bisakah kau tenang?,Cause I'm not plannin' on going solo A-wake me up before you go-go Can you keep it down?
Jika kau berubah pikiran... aku sudah nonton film ini.,If you change your mind... I've seen the movie before.
sudah kukatakan padamu bahwa dunia luar sana tidak cocok denganmu.,I done told you that world out there ain't no place for you.
Sampai jumpa .,See you.
Dia membebaskannya.,You let him go.
- Aku adalah pacarnya.,- I'm his girlfriend.
Aku tidak suka pengambilan keputusan dirampas dari tanganku.,I don't like decisions being taken out of my hands.
Permisi.,Excuse me.
Kurasa ini adalah soal yang paling penting.,I think this is the most important question.
Aku rasa iya.,Guess I do.
- dia akan baik2 saja?,"-She's gonna be okay, though?"
Kenapa tidak ?,Why not?
Itu Buntut-nya kan?,What about the tail?
Hey!,Hey!
"Ya, Tuhan, bajingan itu sengaja melakukannya. Sial!","Oh, my god, that bastard did it on purpose."
- # In the stillness of remembering # - # Stillness... #,- # In the stillness of remembering # - # Stillness... #
Karena aku bekerja di sini.,Because I work here.
Mereka menemukan sesuatu.,Did they find something?
Kita telah bebas dari penjajahan sejak dahulu,We have been escaping booth capturing since so long.
- Dia yang menulis fiksi ilmiah.,- Who wrote science fiction.
Kau terlalu serius.,You're so serious!
Kita pernah mendengarnya.,We've heard this before.
Kau bisa tanpa itu.,You can do it without that.
Aku tahu.,I can.
jadi jika dia benar-benar tidak pergi... dia akan mati?,So if he really doesn't go... He will die?
"Aku mencoba untuk membuat perbedaan, Peter, yang terbaik yang aku tahu adalah bagaimana.","I'm trying to make a difference, Peter, the best way I know how."
"Hei, aku sedang mendengarkan.","Hey, I was listening to that."
Uh..,"Uh, uh..."
Kenapa mereka menculik Xavier?,Why would they kidnap Xavier?
Dengan keyakinan.,With confidence.
Tidak seharusnya begini. Hari itu kau juga makan bersamaku.,"Wait, you ate with me last time."
-Kucing itu seperti babi.,- That cat is such a pig.
"Jangan biarkan mereka memotong lenganmu,nak.Lanjutkan!","Don't let him chew your oars, boys. Back to it."
Belajar untuk membaca lawan berikutnya sebelum hal itu terjadi.,Learn to read your opponent's next move before it happens.
Kau membawanya ke sini?,You led that back here?
- apa kau lihat lisa?,"- Look, did you see Lisa?"
Tidak.,No.
Aku dapat berguna bagimu!,I can be of use to you!
Sting ternyata pecinta Lebah.,Bee Sting turns lovers.
"Kita berada di tangan ahlinya, sayang.",We're really wide.
Anda harus menyeberang dan memotong merah dan kawat hijau.,You gotta cross and cut the red and the green wire.
Kapal sudah siap.,Boat landed.
Apa itu dia?,Is that her?
"kami orang Jerman harus terbiasa dengan segala cuaca, dari Rusia sampai Sahara.","We Germans must get used to all climates, from Russia to the Sahara."
Aku tak punya.,I don't have it.
Patil!,Patil!
"Tunggu, tungu!","Wait, wait!"
"Mereka mengatakan: ""Berikan saya 1 titik tumpu, saya akan mengangkat seluruh dunia, ""","Sure! It's like they say, Give me the place to stand and I shall move the world."
Bilang ke pers.,I will go to the press.
Aku tak tahu.,I don't know.
"Baik, dengarkan aku. Kamu bukan orang seperti ini.",You're not this person.
"Ada kata-kata terakhir, Pak Presiden ?","Any last words, Mr. President?"
Itu benar.,It's completely fucking true.
"""Seven Kingdoms akan selalu memakan korban selama Cersei duduk di atas Iron Throne.","""The Seven Kingdoms will bleed as long as Cersei sits on the Iron Throne."
Mungkin aku sebaiknya ikut pindah.,Maybe I should just move in.
Mapo-gu Sangsoo-dong 21-1 5.,Mapo-gu Sangsoo-dong 21-15.
Tandatangani.,Then sign.
Kita akan berdoa untuk Myrlie.,We're gonna pray for Myrlie.
Lihat.,Look.
"Terima kasih, Grace.","Thank you, Grace."
"Hei, aku akan melawan siapa pun, kapan saja!","Hey, I'll fight any man, anytime!"
Bunuh dia demi semua orang.,Kill her before the others!
Aku pasangkan bingkai di sekelilingnya.,I just put a frame around it.
"Yang sebabnya Zeitgeist palsu terus-menerus adalah output melalui agama, media massa dan sistem pendidikan.","Which is why a continually fraudulent zeitgeist is output via religion, the mass media and the educational system."
"Kemudian, I. ..","Then, I..."
Panah bius.,Tranq dart.
"Aku tak tahu./Pintu lemari terbuat dari kayu, kawan.","- I don't know. - The closet door is made of all kinds of wood, brother."
Kau memanfaatkan kecepatanku.,You harness my speed.
"Sekali pahlawan masuk, Tak ada jalan kembali.","Once the heroes enter, there's no turning back."
Ku pikir Vigilante sudah selesai urusan dengan The Count.,I thought the Vigilante finished off the Count.
- Mmm!,- Mmm!
"Ayah, aku hanya...","Dad, I just..."
Mengapa kau akan percaya apa katanya?,Why would you believe anything he says?
Dan Jean-Pierre Morneau?,And Jean-Pierre Morneau?
Apa yang terjadi?,- What's happening?
Oh Tuhan. Ini sangat ilegal.,"- I know, it's so hot, right?"
Jadi mengapa kau tak berada dirumah dan biar aku melakukan tugasku.,So why don't you stay at home and let me do my job.
Membuat orang melakukan hal-hal mereka mungkin tidak ingin melakukan.,Making people do things they maybe don't want to do.
karena Anda anakku!,because you are my son!
- Lepaskan!,- Get it off!
Hmm.,- Hmm.
Kau masih bertahan di perusahaan itu.,It's a wonder that you don't quit your company.
Terima kasih.,Thanks.
Senangmu seperti cewek.,You're girl happy.
Dia bisa memaksa kita untuk bagian satu reboot keamanan dan menyeret kita melalui penyelidikan enam bulan.,She could force us into a section one security reboot and drag us through a six-month investigation.
"Eh , Mr Chase , Chloe adalah dalam kesehatan yang sempurna .","Eh, Mr. Chase, Chloe is in perfect health."
Mungkin dia bersembunyi di sini dan menyaksikanku,Maybe he's hiding here and watching me.
"Ya benar, pengatur negara memiliki lemak di pinggangnya.","That's right, the ruler of the country having fat all around his waist."
"Januari tahun ini, penerjunan di Kiev dengan 167 yg masih hidup, untuk mendapatkan dua batas resimen keluar dari Rusia.","January this year, dropped into Kiev with 167 surviving in unit, to get two cut-off regiments out of Russia."
"Selalu pergi ke pameran, membeli buku komik.","Goes to conventions, whole nine yards."
Pembunuh yang sebenarnya.,The real murderer.
"Nah, maka saatnya.","Well, then it's time."
Dia mungkin juga tidak mengetahuinya.,She wouldn't even have known it.
Jadi kita akan mempercayakannya dalam pencarian terbesar dalam sejarah manusia untuk lelaki yang baru saja menipumu?,So we'll entrust the greatest find in human history to a man who just lied to you?
Kau benar!,You're right!
- Kabir.,- Kabir.
"Oh, yang tidak punya lidah namanya Vando.","Oh, the one without the tongue is Vando."
Whoa!,Whoa!
"- Kau tahu itu, bukan?","- You know that, don't you?"
Dia sudah hampir menyelesaikannya.,He's about this close to wrapping it up.
Generator perisai itu terdapat di suatu tempat di kota ini.,The shield generator is somewhere in this area.
Hm?,Hm?
"Pada 13,7 juta tahun yang lama, kami Pada 13,7 juta tahun yang lama, kami","At 13.7 billion years old, our"
♪,♪ Brave Rescue Team ♪
Tapi aku tak jadi pergi.,But I'm not leaving.
Dia marah.,He was pissed.
"Rumah tersebut dijelaskan dalam Alkitab sebagai lepra... Atau sebelum itu, dalam kalimat Homer untuk alam dunia bawah:","Such houses are described in the Bible as leprous or before that, in Homer's phrase for the underworld:"
Dia seperti raja Kota New York.,He's like the king of New York City.
Kita lihat Tuhan bekerja.,Let's see what the Lord does.
Itu akan mengecewakanku.,That will kill me.
Apa kau ingat halva?,Do you remember halva?
Mana bisa kita berhenti sekarang?,How can we stop now?
- Apa yang telah kau lakukan?,- What have you done?
Analis darah.,The blood guy.
Apa kita punya cukup Karunia untuk mantra pemanggil?,Do we have enough Grace for the summoning spell?
aku tidak memiliki rasa simpati kepada penyihir dalam pasukanku para serigala tidak akan menjadi pasukanmu,"Besides, I can't have witch sympathizers in my army. The wolves are not now nor will ever be your army."
"Aku sangat berharap pilotnya sadar, Clark.","Well, I sure hope the pilot's sober too, Clark."
"Ayo kemas semua, mari kita pergi, cepat.","Let's pack them up, let's go, hurry."
Carter...,Carter...
-di Bandara SuItan Pangeran.,-on the Prince Sultan's airport tomorrow.
Bye-bye!,Bye-bye!
Tidak ada gunanya berpura pura sakit!,There's no point in playing possum!
"""Aku bersumpah aku sangat suka... gadis usia Anda.""","""I swear I really like...girls of your age."""
dan mengapa mereka mau diperintah Joker?,And why follow the Joker?
Ninako-chan?,Ninako?
Atau dia berbohong.,Or he lied.
Aku adalah reaIIy menyesal tentang jaket/sampul.,I'm really sorry about the jacket.
-Oh maafkan saya.,"- Oh, I'm sorry."
"Arial‎, kamu disana‎?","Arial, are you there?"
Aku memainkan masiknya Schubert bagian nada pelan dan aku payah.,We had to play a slow piece by Schubert and I messed up.
menghasilkan banyak uang.,"You were All American, you were national champion. I mean ... we'd make a lot of scratch if you'd be fighting."
Mereka menghabiskan itu.,They spent it.
Tapi Dewan memilih anggotanya sendiri.,But the council elects its own members.
Ini semua sudah berakhir.,It's over.
Untuk menyelesaikan lingkungan fãtãlãul!,Kick down eco-pussy! Kick down eco-pussy!
Tapi tuan Tripathi!,But Mr. Tripathi!
Bagus.,Great.
"Christo, Danny,","Christo, Danny,"
Dibawah langit Inggris.,Under an English sky.
Bahkan setelah kita kehilangan anak sulung kita.,Even after we lost our first boy.
"Oh, kau belum dimiliki... sampai kau dimiliki Chief.","Oh, you ain't been had... till you been had by the Chief."
- Dimana Marwan?,- Where's Marwan?
apa yang dia inginkan?,what does he want?
"Yah, mereka menghindariku bak wabah.","- Well, they avoid me like the plague."
"Bro, kamu kayak Rachael Ray dengan Ganja.","Man, you're like the Rachael Ray of weed."
Ya. Bagus gadis!,"You go, girl!"
Pembicaraan tentang apa ini?,Was this a conversation?
"Lucie Jurin lolos 15 tahun yang lalu, benar?","Lucie Jurin escaped 15 years ago, correct?"
"Oh, aku mendapatkannya.","Oh, I get it."
Baiklah.,Alright.
Kita tidak menghisap itu.,We didn't smoke it.
Ya dia bisa.,"Yes, she can."
- Apa yang terjadi dengan Anda ?,- What is the matter with you?
Sejak kecil ku selalu ingin mempunyai teman banyak Sepertimu.,"Ever since I was little, I've always wanted a friend like you."
Apa kau tahu seseorang bernama Zhao?,Do you know a guy called Zhao?
"""Velcome.""","""Velcome."""
Anda ingin bergabung dengannya?,You like to join her?
Sara.,Sara.
- No,- No.
Dan besok adalah waktu untuk melanjutkan hidup kita.. ..untuk merayakan kehidupannya yang baik. ..dan bersuka cita dalam keselamatannya yang kekal.,"And tomorrow will be the time to move on, to celebrate her righteous life and revel in Leah's heavenly salvation."
Seorang ibu diselamatkan dari kebakaran oleh petugas pemadam kebakaran yang seksi?,Mother of the baby saved from the fire and the sexy shirtless fireman?
"-Untuk iseng, setuju?","-For fun, okay?"
"Ya, tapi aku menemukan dia.","Yes, but I found him."
"Rincian konspirasi ini..., ...kini menjadi arsip hukum..., ...tapi pada saat itu, sulit untuk dimengerti.","The details of the conspiracy, now a matter of public record, were, at that time, impossible for us to apprehend."
Aku ingin bicara padamu.,I need to talk to you.
Kami punya.,We do.
- Cepat jalan !,- Drive!
Lupakan Combat Carl!,Forget about Combat Carl!
Gao.,Gao
Tidak.,No.
Orang-orang begitu menarik .,The people are so interesting.
Dia punya teman-teman sepertimu.,he has friends like you
Kelihatannya buruk.,"Aw, that looks bad."
Dia ingin kau terus berjuang.,She wants you to keep fighting.
Dan juga...,Futhermore...
Pergilah.,Go.
"Ini adalah opininya bahwa, sementara sang ibu mencintai dan sangat perhatian terhadap anaknya...","It's her opinion that, while the mother Loves and cares deeply for her child..."
"Oh, Tuhanku, tidak!","Oh, my god! Oh, my god!"
Aku tahu aku telah mengecewakanmu.,I know I've let you down.
Tidak. itu masa lalu.,No. It's in the past.
Kau hilang saat berburu atau sesuatu.,You were lost on a hunt or something.
"Tidurlah kau, binatang.","Go to sleep, you animal."
"Karena kalian telah membuatku datang ke bawah sini, aku akan membuang sampah.","Since you made me come all the way down here, I'm gonna take out some of the garbage."
Korek apinya!,The matches!
"Aku tak peduli jika hujan, aku sudah bosan.","I don't care if it's raining, I'm done."
waktu pulang.,Time to go home.
"Baik, ayolah, monster","All right, come on, monster."
Kau adalah diriku.,You're me.
Aku tak melakukan hal yang ilegal.,I have done nothing illegal.
/ Kau tidak memilihku ?,- You didn't vote for me?
Itu bukan obat.,It's not medicine.
Kami punya telepon di rumah?,We got a phone at home?
Tapi biar bagaimanapun ini final.,"However, this is the final."
Karena kamu mereka bertarung,It was because of you they were fighting.
Jangan takut menyentuhnya dan menjadi satu!,Don't be afraid to touch it and become one with it! Yes!
"Maaf, Saya pikir seseorang telah meninggalkan lampu.","Sorry, I thought someone had left the light on."
Apa yang kamu pikir nak?,"What do you think, boy?"
Apakah itu semua saya dapatkan?,Is that all I get?
Data dari Hubble telah didekode kemudian dianalisa oleh komputer yg paling canggih di MIT.,The data from the Hubble was decoded then analyzed by the most powerful computers at MIT.
Apa kalian tidak akan memberi salam dengan benar?,Are you not going to properly say hello?
